iter	Passed	Remaining
0	1	123
1	2	99
2	2	90
3	3	77
4	3	71
5	4	67
6	4	63
7	5	60
8	5	58
9	6	57
10	6	55
11	7	54
12	7	53
13	8	52
14	8	50
15	9	49
16	9	48
17	10	47
18	10	46
19	11	45
20	11	44
21	12	44
22	12	43
23	13	42
24	13	41
25	14	40
26	14	40
27	15	40
28	16	40
29	17	39
30	17	39
31	18	38
32	18	38
33	19	37
34	20	37
35	20	36
36	21	36
37	21	35
38	22	35
39	23	35
40	23	34
41	24	33
42	24	32
43	25	32
44	25	31
45	26	30
46	26	30
47	27	29
48	27	28
49	28	28
50	28	27
51	29	27
52	30	26
53	31	26
54	31	25
55	32	25
56	33	25
57	33	24
58	34	24
59	35	23
60	35	22
61	36	22
62	36	21
63	37	20
64	37	20
65	38	19
66	38	19
67	39	18
68	40	18
69	41	17
70	41	17
71	42	16
72	43	15
73	43	15
74	44	14
75	45	14
76	45	13
77	46	13
78	47	12
79	48	12
80	49	11
81	50	11
82	51	10
83	51	9
84	52	9
85	52	8
86	53	7
87	53	7
88	54	6
89	54	6
90	55	5
91	55	4
92	56	4
93	56	3
94	57	3
95	57	2
96	58	1
97	58	1
98	59	0
99	59	0
