iter	Passed	Remaining
0	171	171135
1	173	86619
2	175	58278
3	176	44058
4	178	35451
5	179	29699
6	180	25674
7	187	23194
8	188	20803
9	189	18797
10	190	17155
11	191	15787
12	192	14628
13	193	13621
14	194	12742
15	194	11971
16	195	11292
17	195	10686
18	200	10329
19	203	9978
20	206	9642
21	207	9235
22	208	8859
23	209	8515
24	210	8211
25	213	8007
26	217	7850
27	219	7610
28	220	7369
29	220	7145
30	221	6935
31	222	6737
32	223	6562
33	224	6390
34	225	6219
35	229	6137
36	235	6131
37	236	5987
38	237	5849
39	238	5717
40	239	5592
41	239	5472
42	240	5355
43	242	5265
44	244	5180
45	244	5076
46	245	4979
47	246	4883
48	247	4800
49	248	4712
50	248	4627
51	249	4545
52	250	4467
53	252	4427
54	254	4375
55	255	4314
56	256	4251
57	257	4187
58	258	4122
59	259	4064
60	260	4007
61	261	3953
62	262	3897
63	262	3843
64	263	3789
65	264	3736
66	264	3686
67	267	3665
68	268	3624
69	269	3585
70	271	3555
71	272	3513
72	273	3471
73	274	3431
74	275	3392
75	275	3353
76	276	3317
77	277	3279
78	278	3242
79	278	3204
80	279	3168
81	279	3133
82	281	3114
83	283	3086
84	285	3069
85	286	3040
86	287	3015
87	288	2986
88	288	2956
89	289	2926
90	290	2897
91	290	2868
92	291	2839
93	291	2812
94	292	2788
95	293	2761
96	293	2734
97	294	2707
98	294	2681
99	295	2658
100	297	2648
101	298	2631
102	299	2612
103	301	2593
104	301	2571
105	302	2552
106	303	2531
107	304	2511
108	305	2499
109	306	2483
110	307	2466
111	308	2448
112	311	2443
113	312	2431
114	314	2422
115	316	2410
116	316	2391
117	317	2373
118	318	2355
119	318	2336
120	319	2318
121	319	2300
122	320	2282
123	320	2266
124	321	2250
125	322	2233
126	322	2216
127	322	2199
128	323	2183
129	323	2167
130	324	2151
131	326	2148
132	327	2136
133	329	2128
134	330	2118
135	331	2104
136	331	2091
137	332	2077
138	333	2064
139	333	2050
140	334	2037
141	335	2025
142	335	2012
143	336	1998
144	336	1985
145	337	1972
146	337	1959
147	338	1946
148	338	1933
149	339	1921
150	341	1918
151	342	1908
152	343	1901
153	344	1890
154	345	1882
155	345	1871
156	346	1860
157	347	1849
158	347	1838
159	348	1827
160	348	1816
161	349	1806
162	349	1796
163	350	1785
164	350	1775
165	351	1764
166	351	1754
167	352	1744
168	352	1734
169	353	1724
170	353	1714
171	354	1704
172	356	1704
173	357	1698
174	358	1690
175	359	1684
176	360	1676
177	361	1667
178	361	1659
179	362	1650
180	362	1641
181	363	1633
182	364	1625
183	364	1617
184	365	1608
185	365	1600
186	366	1591
187	366	1583
188	367	1575
189	367	1566
190	368	1559
191	368	1551
192	371	1551
193	372	1546
194	373	1540
195	373	1533
196	375	1528
197	375	1522
198	376	1515
199	377	1508
200	377	1500
201	378	1493
202	378	1486
203	379	1480
204	380	1473
205	380	1466
206	380	1459
207	381	1452
208	381	1445
209	382	1438
210	382	1431
211	383	1424
212	384	1419
213	386	1418
214	387	1413
215	388	1408
216	388	1402
217	389	1398
218	390	1392
219	391	1386
220	391	1380
221	392	1374
222	392	1368
223	393	1362
224	393	1356
225	394	1351
226	395	1345
227	395	1339
228	396	1333
229	396	1327
230	397	1321
231	397	1316
232	398	1310
233	398	1304
234	404	1315
235	405	1312
236	406	1309
237	407	1303
238	407	1298
239	408	1293
240	409	1288
241	409	1283
242	410	1277
243	410	1273
244	411	1268
245	412	1263
246	412	1258
247	413	1252
248	413	1247
249	414	1242
250	416	1242
251	417	1238
252	418	1235
253	419	1231
254	420	1227
255	420	1222
256	421	1217
257	421	1212
258	422	1208
259	422	1203
260	423	1199
261	424	1195
262	424	1190
263	425	1186
264	425	1181
265	426	1176
266	426	1172
267	427	1167
268	427	1163
269	428	1158
270	429	1154
271	431	1154
272	432	1150
273	432	1147
274	433	1143
275	434	1140
276	435	1136
277	435	1132
278	436	1128
279	437	1124
280	437	1119
281	438	1116
282	438	1111
283	439	1107
284	439	1103
285	440	1099
286	441	1095
287	441	1091
288	442	1088
289	442	1084
290	445	1085
291	446	1082
292	447	1080
293	449	1079
294	450	1076
295	451	1073
296	452	1070
297	452	1066
298	453	1063
299	454	1060
300	455	1057
301	455	1053
302	456	1050
